brand,primary_color,estimatedmarketvalue,gender,name,retailprice,silhouette
Jordan,Army Olive,100.0,kid,Jordan 5 Retro Olive (2024) (PS),100.0,Air Jordan 5
Jordan,Army Olive,160.0,kid,Jordan 5 Retro Olive (2024) (GS),160.0,Air Jordan 5
Jordan,Army Olive,231.0,men,Jordan 5 Retro Olive (2024),210.0,Air Jordan 5
Jordan,Dusted Clay,2000.0,women,Jordan 1 Retro High OG Dusted Clay (Women's),180.0,Air Jordan 1
Jordan,White,125.0,men,Jordan Tatum 2 Momma's Boy,125.0,Jordan Tatum 2
Jordan,White,750.0,women,Jordan 5 Retro Lucky Green (Women's),200.0,Air Jordan 5
Jordan,Black,162.0,men,Jordan 1 Retro High OG Black White,180.0,Air Jordan 1
Jordan,Black,135.0,kid,Jordan 1 Retro High OG Black White (PS),85.0,Air Jordan 1
Jordan,Black,156.0,kid,Jordan 1 Retro High OG Black White (GS),140.0,Air Jordan 1
Jordan,Black,124.0,kid,Jordan 1 Retro High OG Black White (TD),70.0,Air Jordan 1
Jordan,Football Blue,173.0,men,Jordan Spizike Low Houston Oilers,160.0,Jordan Spizike
Jordan,Black,344.0,men,Jordan 4 Retro Bred Reimagined,210.0,Air Jordan 4
Jordan,Black,108.0,kid,Jordan 4 Retro Bred Reimagined (PS),100.0,Air Jordan 4
Jordan,Black,195.0,kid,Jordan 4 Retro Bred Reimagined (GS),160.0,Air Jordan 4
Jordan,Black,107.0,kid,Jordan 4 Retro Bred Reimagined (TD),85.0,Air Jordan 4
Jordan,White,400.0,men,Jordan 1 Retro High 85 OG Metallic Burgundy,180.0,Air Jordan 1
Jordan,White,2000.0,kid,Air Jordan 1 Retro High '85 OG TD 'Metallic Burgundy',85.0,Air Jordan 1
Jordan,White,86.0,men,Jordan 1 Low Dune Red,125.0,Air Jordan 1
Jordan,Sail,750.0,men,Jordan 1 Retro Low OG Trophy Room Away,140.0,Air Jordan 1
Jordan,Black,2000.0,men,Jordan 1 Retro Low OG Trophy Room Home,140.0,Air Jordan 1
Jordan,White,125.0,kid,Air Jordan 1 Retro High OG TD 'Metallic Gold',70.0,Air Jordan 1
Jordan,White,150.0,kid,Air Jordan 1 Retro High OG PS 'Metallic Gold',85.0,Air Jordan 1
Jordan,White,165.0,women,Jordan 1 Retro High OG Metallic Gold (Women's),180.0,Air Jordan 1
Jordan,White,205.0,men,Air Jordan 13 Retro 'Blue Grey',200.0,Air Jordan 13
Jordan,White,150.0,kid,Air Jordan 13 Retro GS 'Blue Grey',100.0,Air Jordan 13
Jordan,White,185.0,kid,Air Jordan 13 Retro PS 'Blue Grey',85.0,Air Jordan 13
Jordan,White,110.0,kid,Air Jordan 13 Retro TD 'Blue Grey',85.0,Air Jordan 13
Jordan,Anthracite,143.0,kid,Jordan 1 Mid Inspired by the Greatest Aquatone (GS),120.0,Air Jordan 1
Jordan,White,133.0,men,Jordan 2 Retro Low Python,150.0,Air Jordan 2
Jordan,Ivory,205.0,men,Jordan 3 Retro Craft Ivory,210.0,Air Jordan 3
Jordan,Black,130.0,men,Jordan Luka 2 'Black Volt',130.0,Jordan Luka 2
Jordan,Black,275.0,men,Jordan 1 Mule Golf Bred,110.0,Air Jordan 1
Jordan,Velvet Brown,128.0,men,Jordan 1 Mid SE Paris YMCA,135.0,Air Jordan 1
Jordan,Armory Navy,95.0,kid,Air Jordan 1 Mid SE PS 'Take Flight',80.0,Air Jordan 1
Jordan,Pinksicle,233.0,men,Jordan Zion 3 Pink Lotus,140.0,Jordan Zion 3
Jordan,White,75.0,kid,Air Jordan 6 Retro TD 'Yellow Ochre',85.0,Air Jordan 6
Jordan,White,156.0,men,Jordan 6 Retro Yellow Ochre,200.0,Air Jordan 6
Jordan,White,66.0,kid,Jordan 6 Retro Yellow Ochre (TD),75.0,Jordan 6 Retro
Jordan,White,140.0,men,Jordan Air Ship PE SP Midnight Navy,140.0,Air Ship
Jordan,White,114.0,kid,Jordan 6 Retro Yellow Ochre (GS),150.0,Air Jordan 6
Jordan,White,68.0,kid,Jordan 6 Retro Yellow Ochre (PS),90.0,Air Jordan 6
Jordan,Sail,93.0,men,Jordan Stadium 90 Year of the Dragon (2024),140.0,Jordan Stadium 90
Jordan,Sail,125.0,women,Jordan 1 Low Year of the Dragon (2024) (Women's),125.0,Air Jordan 1
Jordan,Sail White,59.0,kid,Jordan 23/7 TD 'Year of the Dragon',55.0,Jordan 23/7
Jordan,Sail,130.0,men,Jordan Spizike Low Chinese New Year (2024),170.0,Jordan Spizike
Jordan,Sail,161.0,kid,Air Jordan 2 Retro Low GS 'Year of the Dragon',0.0,Air Jordan 2
Jordan,Sail,748.0,men,Air Jordan 2 Retro Low 'Year of the Dragon',0.0,Air Jordan 2
Jordan,Cedar,182.0,men,Jordan 38 Year of the Dragon,200.0,Air Jordan 38
Jordan,Black,55.0,kid,Jordan True Flight TD 'Black Hyper Royal',55.0,Jordan True Flight
Nike,Luminous Green,205.0,men,Nike ZoomX Vaporfly 3 Ekiden Pack,270.0,ZoomX VaporFly Next% 3
Nike,Black,98.0,men,Nike Air Zoom GT Hustle 2 Greater Than Ever,180.0,Air Zoom GT Hustle 2
Nike,Bicoastal,910.0,men,Zoom Kobe 4 Protro 'Girl Dad',190.0,Zoom Kobe 4
Nike,White,90.0,kid,Kobe 8 Protro PS 'Mambacita',90.0,Kobe 8 System
Nike,White,120.0,kid,Kobe 8 Protro GS 'Mambacita',120.0,Kobe 8 System
Nike,White,190.0,men,Kobe 8 Protro 'Mambacita',190.0,Kobe 8 System
Nike,Football Grey,750.0,men,Nike SB Dunk Low Premium Pastoral Print,125.0,Dunk SB
Nike,Varsity Royal,785.0,men,Zoom Kobe 4 Protro 'Philly',180.0,Zoom Kobe 4
Nike,Stadium Grey,600.0,men,Nike Kobe 8 Protro Venice Beach (2024),180.0,Kobe 8 System
Nike,Stadium Grey,90.0,kid,Kobe 8 Protro PS 'Venice Beach',90.0,Kobe 8 System
Nike,Stadium Grey,120.0,kid,Kobe 8 Protro GS 'Venice Beach',120.0,Kobe 8 System
Nike,Navy,125.0,men,Nike SB Dunk Low Navy Gum,115.0,Dunk SB
Nike,Volt,285.0,women,Nike Alphafly 3 Volt Concord (Women's),285.0,Air Zoom Alphafly NEXT% 3
Nike,Volt,285.0,men,Nike Alphafly 3 Volt Concord,285.0,Air Zoom Alphafly NEXT% 3
Nike,Midnight Navy,150.0,men,Nike Air Max 1 '86 Jackie Robinson,150.0,Nike Air Max 1 '86
Nike,Black,122.0,men,Nike Air More Uptempo 96 Black Star Blue,180.0,Air More Uptempo
Nike,White,160.0,men,Air Max 1 '86 OG Golf 'Big Bubble - Royal',160.0,Air Max 1
Nike,White,150.0,women,Wmns Air Max 1 '86 OG 'Big Bubble - Royal',150.0,Air Max 1
Nike,Volt,160.0,men,Nike Air Max DN Voltage Purple (2024),160.0,Air Max DN
Nike,Neutral Olive,210.0,men,Nike Zoom Vomero 5 Neutral Olive,160.0,Air Zoom Vomero 5
Nike,Summit White,126.0,men,Dunk Low 'Summit White Light Smoke Grey',115.0,Dunk
Nike,Malachite,130.0,women,Wmns Sabrina 1 'Oregon Ducks',130.0,Sabrina 1
